,Date_Time,Gender,Had_Helmet,Had_Passenger,On_Sidewalk
136,2010-09-24 9:30,Male,Yes,No,No
137,2010-09-24 9:30,Male,Yes,No,No
138,2010-09-24 9:30,Female,No,No,No
139,2010-09-24 9:30,Female,No,No,No
140,2010-09-24 9:30,Male,No,No,No
141,2010-09-24 9:45,Male,No,No,No
142,2010-09-24 9:45,Male,Yes,No,No
143,2010-09-24 9:45,Male,Yes,No,No
144,2010-09-24 9:45,Male,Yes,No,No
145,2010-09-24 9:45,Female,Yes,No,No
146,2010-09-24 9:45,Male,No,No,No
147,2010-09-24 9:45,Female,No,No,Yes
148,2010-09-24 9:45,Male,No,No,No
149,2010-09-24 9:45,Male,No,No,No
150,2010-09-24 9:45,Male,No,No,No
151,2010-09-24 9:45,Female,Yes,No,No
152,2010-09-24 9:45,Male,Yes,No,No
153,2010-09-24 10:00,Female,No,No,No
154,2010-09-24 10:00,Male,No,No,No
155,2010-09-24 10:00,Female,No,No,No
156,2010-09-24 10:00,Female,Yes,No,No
157,2010-09-24 10:00,Male,No,No,No
158,2010-09-24 10:00,Male,No,No,No
159,2010-09-24 10:00,Male,No,No,Yes
160,2010-09-24 10:00,Male,No,No,No
161,2010-09-24 10:15,Male,No,No,No
162,2010-09-24 10:15,Male,No,No,No
163,2010-09-24 10:15,Male,Yes,No,Yes
164,2010-09-24 10:15,Male,No,No,Yes
165,2010-09-24 10:15,Male,Yes,No,No
166,2010-09-24 10:15,Male,No,No,Yes
167,2010-09-24 10:15,Male,No,No,No
168,2010-09-24 10:15,Female,No,No,Yes
169,2010-09-24 10:15,Male,No,No,No
170,2010-09-24 10:15,Male,No,No,No
171,2010-09-24 10:15,Female,Yes,No,No
172,2010-09-24 10:15,Male,Yes,No,No
173,2010-09-24 10:15,Female,Yes,No,No
174,2010-09-24 10:15,Female,Yes,No,No
175,2010-09-24 10:15,Male,Yes,No,No
176,2010-09-24 10:15,Male,No,No,No
177,2010-09-24 10:15,Female,No,No,No
178,2010-09-24 10:15,Female,No,No,No
179,2010-09-24 10:15,Female,No,No,No
180,2010-09-24 10:15,Female,Yes,No,No
181,2010-09-24 10:15,Female,Yes,No,No
182,2010-09-24 10:30,Male,No,No,No
183,2010-09-24 10:30,Male,No,No,No
184,2010-09-24 10:30,Male,No,No,No
185,2010-09-24 10:30,Male,No,No,No
186,2010-09-24 10:30,Male,Yes,No,No
187,2010-09-24 10:30,Male,Yes,No,No
188,2010-09-24 10:30,Female,No,No,No
189,2010-09-24 10:30,Female,Yes,No,No
190,2010-09-24 10:30,Male,Yes,No,No
191,2010-09-24 10:30,Male,No,No,No
192,2010-09-24 10:30,Male,No,No,No
193,2010-09-24 10:30,Male,No,No,No
194,2010-09-24 10:30,Male,No,No,No
195,2010-09-24 10:30,Male,No,No,No
196,2010-09-24 10:30,Male,No,No,No
197,2010-09-24 10:30,Male,Yes,No,No
198,2010-09-24 10:30,Female,No,No,Yes
199,2010-09-24 10:30,Female,Yes,No,No
200,2010-09-24 10:30,Female,Yes,No,No
201,2010-09-24 10:30,Female,No,No,No
202,2010-09-24 10:30,Male,No,No,No
203,2010-09-24 10:30,Male,Yes,No,No
204,2010-09-24 10:45,Male,No,No,No
205,2010-09-24 10:45,Female,Yes,No,No
206,2010-09-24 10:45,Male,No,No,No
207,2010-09-24 10:45,Male,No,No,No
208,2010-09-24 10:45,Male,Yes,No,No
209,2010-09-24 10:45,Female,No,No,No
210,2010-09-24 10:45,Female,No,No,Yes
211,2010-09-24 10:45,Male,Yes,No,No
212,2010-09-24 10:45,Female,Yes,No,No
213,2010-09-24 10:45,Male,No,No,No
214,2010-09-24 10:45,Male,No,No,No
215,2010-09-24 10:45,Male,No,No,No
216,2010-09-24 10:45,Male,No,No,No
217,2010-09-24 10:45,Male,No,No,No
218,2010-09-24 10:45,Female,No,No,No
219,2010-09-24 10:45,Female,No,No,No
220,2010-09-24 10:45,Female,No,No,No
221,2010-09-24 10:45,Male,Yes,No,No
222,2010-09-24 10:45,Male,Yes,No,No
223,2010-09-24 11:00,Female,No,No,No
224,2010-09-24 11:00,Male,Yes,No,No
225,2010-09-24 11:00,Male,No,No,Yes
226,2010-09-24 11:00,Male,Yes,No,No
227,2010-09-24 11:00,Female,No,No,No
228,2010-09-24 11:00,Male,No,No,No
229,2010-09-24 11:00,Male,No,No,Yes
230,2010-09-24 11:00,Female,No,No,No
231,2010-09-24 11:00,Female,No,No,No
232,2010-09-24 11:00,Male,No,No,No
233,2010-09-24 11:00,Female,Yes,No,No
234,2010-09-24 11:00,Male,No,No,No
235,2010-09-24 11:00,Male,No,No,No
236,2010-09-24 11:00,Female,Yes,No,No
237,2010-09-24 11:00,Female,No,No,No
238,2010-09-24 11:00,Male,No,No,No
239,2010-09-24 11:00,Female,Yes,No,No
240,2010-09-24 11:00,Female,No,No,No
241,2010-09-24 11:00,Female,No,No,No
242,2010-09-24 11:00,Female,Yes,No,No
243,2010-09-24 11:00,Female,No,No,No
244,2010-09-24 11:00,Female,Yes,No,No
245,2010-09-24 11:00,Male,Yes,No,No
246,2010-09-24 11:00,Male,Yes,No,No
247,2010-09-24 11:00,Male,Yes,No,Yes
248,2010-09-24 11:00,Male,Yes,No,Yes
249,2010-09-24 11:00,Female,No,No,No
250,2010-09-24 11:00,Female,Yes,No,No
251,2010-09-24 11:00,Male,No,No,No
252,2010-09-24 11:00,Female,No,No,No
253,2010-09-24 11:15,Female,Yes,No,No
254,2010-09-24 11:15,Male,No,No,No
255,2010-09-24 11:15,Male,Yes,No,No
256,2010-09-24 11:15,Male,Yes,No,No
257,2010-09-24 11:15,Female,No,No,No
258,2010-09-24 11:15,Female,Yes,No,No
259,2010-09-24 11:15,Female,Yes,No,No
260,2010-09-24 11:15,Female,Yes,No,No
261,2010-09-24 11:15,Female,No,No,No
262,2010-09-24 11:15,Female,Yes,No,No
263,2010-09-24 11:15,Male,No,No,No
264,2010-09-24 11:15,Male,Yes,No,No
265,2010-09-24 11:15,Male,Yes,No,No
266,2010-09-24 11:15,Male,No,No,Yes
267,2010-09-24 11:30,Male,No,No,No
268,2010-09-24 11:30,Male,Yes,No,No
269,2010-09-24 11:30,Male,Yes,No,No
270,2010-09-24 11:30,Male,No,No,Yes
271,2010-09-24 11:30,Male,No,No,No
272,2010-09-24 11:30,Male,No,No,No
273,2010-09-24 11:30,Male,Yes,No,No
274,2010-09-24 11:30,Male,Yes,No,No
275,2010-09-24 11:30,Female,No,No,No
